14-05-2023 19:26:05.310 INFO  c.e.bookflix.BookflixApplication.logStarting Starting BookflixApplication using Java 11.0.18 on Satvika with PID 19383 (/home/satvika/Documents/Bookflix/backend/target/classes started by satvika in /home/satvika/Documents/Bookflix)
14-05-2023 19:26:05.312 INFO  c.e.bookflix.BookflixApplication.logStartupProfileInfo No active profile set, falling back to 1 default profile: "default"
14-05-2023 19:26:29.869 INFO  c.e.bookflix.BookflixApplication.logStarted Started BookflixApplication in 25.12 seconds (JVM running for 25.716)
14-05-2023 20:51:56.668 INFO  c.e.bookflix.BookflixApplication.logStarting Starting BookflixApplication using Java 11.0.18 on Satvika with PID 47258 (/home/satvika/Documents/Bookflix/backend/target/classes started by satvika in /home/satvika/Documents/Bookflix)
14-05-2023 20:51:56.671 INFO  c.e.bookflix.BookflixApplication.logStartupProfileInfo No active profile set, falling back to 1 default profile: "default"
14-05-2023 20:52:15.993 INFO  c.e.bookflix.BookflixApplication.logStarted Started BookflixApplication in 19.847 seconds (JVM running for 20.645)
14-05-2023 20:52:23.773 INFO  c.e.bookflix.home.HomeController.home No user logged in
14-05-2023 20:52:28.926 INFO  c.e.bookflix.home.HomeController.home User logged in with user id- satvi4
14-05-2023 20:52:30.105 INFO  c.e.bookflix.home.HomeController.lambda$0 Book fetched...
14-05-2023 20:52:30.106 INFO  c.e.bookflix.home.HomeController.lambda$0 Book fetched...
14-05-2023 20:52:30.106 INFO  c.e.bookflix.home.HomeController.lambda$0 Book fetched...
14-05-2023 20:52:30.106 INFO  c.e.bookflix.home.HomeController.lambda$0 Book fetched...
14-05-2023 20:52:30.106 INFO  c.e.bookflix.home.HomeController.lambda$0 Book fetched...
14-05-2023 20:52:30.106 INFO  c.e.bookflix.home.HomeController.lambda$0 Book fetched...
14-05-2023 20:52:46.148 INFO  c.e.bookflix.home.HomeController.home User logged in with user id- satvi4
14-05-2023 20:52:46.611 INFO  c.e.bookflix.home.HomeController.lambda$0 Book fetched...
14-05-2023 20:52:46.611 INFO  c.e.bookflix.home.HomeController.lambda$0 Book fetched...
14-05-2023 20:52:46.611 INFO  c.e.bookflix.home.HomeController.lambda$0 Book fetched...
14-05-2023 20:52:46.612 INFO  c.e.bookflix.home.HomeController.lambda$0 Book fetched...
14-05-2023 20:52:46.612 INFO  c.e.bookflix.home.HomeController.lambda$0 Book fetched...
14-05-2023 20:52:46.612 INFO  c.e.bookflix.home.HomeController.lambda$0 Book fetched...
14-05-2023 20:53:06.335 INFO  c.e.bookflix.search.SearchController.getSearchResults Getting search results for...lord of the rings
14-05-2023 20:53:23.573 INFO  c.e.bookflix.home.HomeController.home User logged in with user id- satvi4
14-05-2023 20:53:24.555 INFO  c.e.bookflix.home.HomeController.lambda$0 Book fetched...
14-05-2023 20:53:24.556 INFO  c.e.bookflix.home.HomeController.lambda$0 Book fetched...
14-05-2023 20:53:24.556 INFO  c.e.bookflix.home.HomeController.lambda$0 Book fetched...
14-05-2023 20:53:24.556 INFO  c.e.bookflix.home.HomeController.lambda$0 Book fetched...
14-05-2023 20:53:24.556 INFO  c.e.bookflix.home.HomeController.lambda$0 Book fetched...
14-05-2023 20:53:24.557 INFO  c.e.bookflix.home.HomeController.lambda$0 Book fetched...
14-05-2023 20:53:58.996 INFO  c.e.b.userbooks.UserBooksController.addBookForUser Book status updated by the user
14-05-2023 20:53:59.010 INFO  c.e.bookflix.home.HomeController.home User logged in with user id- satvi4
14-05-2023 20:53:59.336 INFO  c.e.bookflix.home.HomeController.lambda$0 Book fetched...
14-05-2023 20:53:59.337 INFO  c.e.bookflix.home.HomeController.lambda$0 Book fetched...
14-05-2023 20:53:59.337 INFO  c.e.bookflix.home.HomeController.lambda$0 Book fetched...
14-05-2023 20:53:59.338 INFO  c.e.bookflix.home.HomeController.lambda$0 Book fetched...
14-05-2023 20:53:59.339 INFO  c.e.bookflix.home.HomeController.lambda$0 Book fetched...
14-05-2023 20:53:59.339 INFO  c.e.bookflix.home.HomeController.lambda$0 Book fetched...
